cliente_id,idade,genero,tempo_relacionamento_meses,categoria_fidelidade,ticket_medio_mensal,forma_pagamento,reclamacoes_registradas,pedidos_no_show,nota_satisfacao,data_cadastro,cliente_inativo
1037,73.0,F,26,Ouro,"R$ 173,50",Pix,2,0,3.0,02/02/2024,Sim
373,43.0,feminino,52,PRATA,"R$ 83,70",  Pix ,0,4,1.0,21/03/2024,No
1410,35.0,Feminino,48,BRONZE,53.1,  Boleto ,0,0,5.0,21/12/2022,não
1519,48.0,masc,49,OURO,"R$ 156,70",Cartão de Crédito,2,0,5.0,2022-07-15,Não
280,23.0,masc,10,OURO,152.82,Cartão de Crédito,2,3,4.0,26/01/2023,não
2188,33.0,Feminino,5,Bronze,50.3,Cartão de Crédito,2,0,4.0,13/12/2023,N
1352,42.0,masculino,38,prata,77.26,Pix,0,0,5.0,2024-06-05,No
817,,masculino,38,ouro,"R$ 166,36",Boleto,3,2,,2022-11-27,No
279,22.0,,6,Bronze,,Pix,0,0,3.0,2023-01-27,Não
1245,,masculino,66,OURO,"R$ 162,97",Cartão de Crédito,0,2,3.0,26/12/2021,sim
1507,74.0,masculino,12,Bronze,53.94,Pix,1,0,2.0,02/01/2022,Yes
1443,,feminino,67,Ouro,169.08,Boleto,0,2,1.0,28/12/2023,Sim
218,23.0,Masculino,19,PRATA,"R$ 90,73",Cartão de Crédito,0,0,2.0,19/02/2022,0
740,,masc,12,BRONZE,"R$ 50,70",Pix,2,2,,30/05/2024,No
463,64.0,,11,bronze,40.63,Pix,0,3,2.0,2024-03-14,Sim
2141,61.0,F,4,BRONZE,"R$ 53,74",Pix,1,0,5.0,2023-01-07,0
8,61.0,F,60,bronze,,  Pix ,0,0,5.0,25/01/2024,Yes
2100,33.0,masc,7,PRATA,99.34,,0,1,3.0,10/07/2024,Não
1280,71.0,M,56,Prata,"R$ 93,24",Pix,1,7,3.0,2022-11-20,Não
1159,41.0,Masculino,14,PRATA,94.56,Cartão de Crédito,0,4,1.0,2024-04-16,Sim
636,60.0,Feminino,39,prata,103.85,Pix,0,1,3.0,09/11/2022,No
1527,37.0,masc,8,ouro,158.37,  Boleto ,2,3,4.0,03/09/2022,No
1879,63.0,M,18,BRONZE,46.95,Boleto,1,0,2.0,10/05/2022,No
2181,61.0,fem,67,PRATA,73.16,Pix,0,1,4.0,11/09/2023,0
61,75.0,F,2,Prata,87.1,Cartão de Crédito,4,5,3.0,2023-08-08,sim
588,24.0,M,5,Prata,93.53,  Boleto ,1,0,4.0,25/07/2022,N
2161,68.0,M,1,bronze,,Boleto,1,1,4.0,2022-10-08,sim
1011,34.0,masculino,69,BRONZE,"R$ 42,51",Pix,1,0,3.0,2024-03-29,N
35,73.0,masc,42,PRATA,80.46,  Pix ,2,0,3.0,2021-07-12,não
514,68.0,F,37,Bronze,"R$ 45,54",,1,0,4.0,25/02/2022,No
1794,35.0,Feminino,21,BRONZE,46.75,Pix,0,2,,2024-08-13,não
1634,72.0,Masculino,47,prata,94.23,  Cartão de Crédito ,0,0,3.0,2024-09-12,No
752,27.0,masc,37,prata,,  Cartão de Crédito ,0,4,,06/12/2022,Não
770,41.0,M,46,BRONZE,"R$ 28,05",Cartão de Crédito,1,0,4.0,2024-09-14,Não
489,65.0,Feminino,46,Bronze,32.55,  Pix ,2,2,4.0,2024-07-09,0
1471,73.0,F,11,Bronze,58.22,Pix,1,3,3.0,10/10/2022,não
604,26.0,masculino,5,prata,73.34,Boleto,0,1,4.0,26/01/2023,Não
531,55.0,,69,BRONZE,43.04,Boleto,1,1,3.0,2021-07-19,0
2152,37.0,Masculino,41,bronze,,Boleto,2,0,4.0,21/10/2023,N
748,37.0,F,36,PRATA,72.98,Cartão de Crédito,3,0,4.0,24/09/2023,Não
1954,46.0,masc,70,PRATA,87.86,Cartão de Crédito,2,2,2.0,2021-03-21,S
508,33.0,masculino,22,bronze,41.3,Pix,0,0,5.0,03/07/2024,Não
1724,63.0,masculino,30,ouro,"R$ 159,23",Pix,1,0,4.0,29/12/2023,N
2106,35.0,masc,55,bronze,45.19,Cartão de Crédito,0,8,4.0,20/07/2021,No
1295,77.0,F,66,BRONZE,46.36,Boleto,1,5,3.0,2022-07-04,sim
1969,70.0,masc,36,Prata,80.82,  Pix ,3,6,4.0,30/09/2023,0
326,32.0,Feminino,23,BRONZE,45.54,  Cartão de Crédito ,1,0,4.0,2021-08-10,N
952,36.0,masculino,16,PRATA,,Cartão de Crédito,1,3,,2023-05-28,não
876,49.0,fem,54,ouro,"R$ 156,54",Boleto,1,1,3.0,24/03/2022,N
52,30.0,F,40,PRATA,"R$ 93,26",Pix,0,1,,30/03/2024,No
354,44.0,masc,14,Ouro,152.44,Cartão de Crédito,1,2,4.0,2023-02-08,No
242,54.0,Masculino,1,Bronze,36.15,Pix,1,1,3.0,2024-01-13,Sim
376,23.0,feminino,24,PRATA,94.47,  Pix ,4,0,4.0,2023-05-24,S
1420,47.0,F,7,ouro,159.94,Cartão de Crédito,2,3,4.0,2022-03-26,Não
55,48.0,M,21,Ouro,"R$ 150,82",Pix,2,5,4.0,2021-12-27,0
1900,39.0,M,24,OURO,166.79,Pix,3,0,3.0,08/02/2024,Sim
877,51.0,F,8,bronze,37.35,Cartão de Crédito,0,1,4.0,25/07/2022,0
442,36.0,Feminino,36,PRATA,,  Pix ,1,0,4.0,18/01/2023,Não
1556,28.0,fem,23,bronze,50.19,Cartão de Crédito,0,0,3.0,04/06/2021,não
2200,28.0,masc,48,PRATA,89.67,Cartão de Crédito,1,7,4.0,2022-10-03,Não
524,69.0,feminino,27,bronze,41.23,Cartão de Crédito,0,4,5.0,2021-04-08,não
716,67.0,F,32,bronze,33.71,Cartão de Crédito,3,2,2.0,10/08/2023,sim
205,46.0,masculino,28,ouro,168.68,Pix,0,4,3.0,2024-07-29,Sim
2072,58.0,feminino,38,Prata,82.46,Pix,1,1,2.0,2023-08-31,Yes
591,67.0,feminino,67,OURO,172.74,Cartão de Crédito,1,0,4.0,06/06/2024,Não
1154,74.0,Feminino,52,Bronze,43.4,  Boleto ,1,0,2.0,2022-01-01,1
596,67.0,M,66,prata,"R$ 81,18",Boleto,0,1,4.0,2022-01-06,Não
427,,fem,70,Prata,87.15,Pix,0,0,2.0,15/07/2021,Sim
47,45.0,masc,41,BRONZE,"R$ 41,12",Boleto,0,3,4.0,04/05/2024,1
658,57.0,Feminino,56,Bronze,"R$ 53,98",Cartão de Crédito,0,3,3.0,07/10/2024,1
1321,25.0,masc,59,prata,89.18,Cartão de Crédito,1,3,,2022-05-11,não
807,51.0,masculino,43,Prata,88.92,Boleto,1,0,4.0,13/01/2024,não
159,49.0,Feminino,45,ouro,"R$ 179,75",Cartão de Crédito,4,0,3.0,2022-01-05,1
986,58.0,Feminino,68,Bronze,"R$ 37,04",Boleto,1,0,,07/05/2022,0
1045,61.0,Feminino,52,bronze,"R$ 46,60",Pix,0,0,5.0,31/10/2022,No
1206,74.0,fem,25,ouro,151.27,Cartão de Crédito,1,0,4.0,2022-07-29,0
111,35.0,Masculino,20,OURO,,Cartão de Crédito,2,3,3.0,13/04/2022,Não
1409,18.0,Masculino,44,Bronze,46.81,  Pix ,2,0,3.0,2024-10-10,Yes
